" ";"Instrument";"Test";"QC";"QC lot No.";"Target mean";"Target SD";"SDI";"Number of values";"Bias";"Calculated mean";"Calculated SD";"CV%";"Usage"
"";"C6000-B:E3-1";"HEP C ANTIBODY";"PC AHCV2";"629665";"3,524";"0,150";"0,467";"50";"0,020";"3,594";"0,140";"3,901";"In use"
"";"LIAISON XL";"Hepatitis B E Ab";"a-HBeNeg";"2550271";"2,397";"0,375";"0,000";"6";"0,000";"2,397";"0,008";"0,341";"In use"
"";"LIAISON XL";"Hepatitis B E Ab";"a-HBePos";"5980581";"0,595";"0,102";"0,033";"6";"0,006";"0,598";"0,029";"4,863";"In use"
"";"LIAISON XL";"Hepatitis B E Ag";"HBEAG NC";"2540300";"0,030";"0,007";"-0,260";"3";"-0,058";"0,028";"0,002";"6,192";"In use"
"";"LIAISON XL";"Hepatitis B E Ag";"HBEAG PC";"5960570";"0,475";"0,108";"-0,369";"3";"-0,084";"0,435";"0,016";"3,591";"In use"
"";"LIAISON XL";"Herpes Simplex Virus 2 IgG";"HSV-2 IgG NC";"6700400";"0,500";"0,167";"0,000";"4";"0,000";"0,500";"0,000";"0,000";"In use"
"";"LIAISON XL";"Herpes Simplex Virus 2 IgG";"HSV-2 IgG PC";"6710400";"2,700";"0,433";"-0,381";"4";"-0,061";"2,535";"0,037";"1,458";"In use"
"";"LIAISON XL";"Herpes Simplex Virus IgM";"HSV-MNeg";"6720420";"0,500";"0,100";"0,000";"4";"0,000";"0,500";"0,000";"0,000";"In use"
"";"LIAISON XL";"Herpes Simplex Virus IgM";"HSV-MPos";"6860450";"1,660";"0,243";"-0,051";"4";"-0,008";"1,648";"0,045";"2,731";"In use"
"";"C6000-A:E2-1";"HIGH-SENSITIVITY TROPONIN T";"PC TN1";"629183";"28,600";"2,570";"0,056";"19";"0,005";"28,744";"1,331";"4,630";"Study"
"";"C6000-B:E3-1";"HIGH-SENSITIVITY TROPONIN T";"PC TN1-B";"629183";"28,600";"2,570";"0,668";"14";"0,060";"30,316";"0,626";"2,065";"Study"
"";"C6000-B:E3-1";"HIGH-SENSITIVITY TROPONIN T";"BIO CTC1-B";"89041";"17,990";"0,560";"1,123";"39";"0,035";"18,619";"0,435";"2,338";"In use"
"";"C6000-A:E2-1";"HIGH-SENSITIVITY TROPONIN T";"BIO CTC1";"89041";"17,990";"0,560";"1,095";"41";"0,034";"18,603";"1,153";"6,199";"In use"
"";"C6000-A:E2-1";"HIGH-SENSITIVITY TROPONIN T";"PC TN1";"657678";"29,100";"2,620";"0,166";"23";"0,015";"29,536";"1,852";"6,270";"In use"
"";"C6000-B:E3-1";"HIGH-SENSITIVITY TROPONIN T";"PC TN1-B";"657678";"29,100";"2,620";"0,236";"22";"0,021";"29,719";"0,449";"1,511";"In use"
"";"C6000-B:E4-1";"HIV combi PT";"PCII HIV1";"643861";"0,194";"0,040";"0,143";"58";"0,030";"0,200";"0,014";"6,992";"In use"
"";"C6000-B:E4-2";"HIV combi PT";"PCII HIV1";"643861";"0,196";"0,040";"0,191";"57";"0,039";"0,203";"0,017";"8,244";"In use"
"";"C6000-B:E4-1";"HIV combi PT";"PCII HIV2";"643864";"5,847";"0,250";"0,209";"59";"0,009";"5,899";"0,142";"2,414";"In use"
"";"C6000-B:E4-2";"HIV combi PT";"PCII HIV2";"643864";"5,908";"0,250";"0,129";"59";"0,005";"5,940";"0,163";"2,740";"In use"
"";"C6000-B:E4-1";"HIV combi PT";"PCII HIV3";"643866";"4,412";"0,250";"-0,130";"62";"-0,007";"4,379";"0,128";"2,920";"In use"
"";"C6000-B:E4-2";"HIV combi PT";"PCII HIV3";"643866";"4,440";"0,250";"-0,058";"58";"-0,003";"4,426";"0,154";"3,479";"In use"
"";"LIAISON XL";"Human growth hormone";"hGH L1";"7980320";"3,700";"0,247";"0,939";"6";"0,063";"3,932";"0,056";"1,415";"In use"
"";"LIAISON XL";"Human growth hormone";"hGH L2";"9260320";"17,350";"1,150";"1,275";"6";"0,085";"18,817";"0,387";"2,056";"In use"
"";"C6000-A:C1";"I INDEX";"HAEMOL";"88270";"0,000";"1,000";"0,000";"7";"NaN";"0,000";"0,000";"Incalculable";"In use"
"";"C6000-A";"I INDEX";"HAEMOL";"88270";"0,000";"1,000";"0,000";"1";"NaN";"0,000";"0,000";"Incalculable";"In use"
"";"C6000-B:C2";"I INDEX";"HAEMOL-B";"88270";"1,000";"1,000";"-1,000";"4";"-1,000";"0,000";"0,000";"Incalculable";"In use"
"";"C6000-B:ISE1";"I INDEX";"HAEMOL-B";"88270";"1,000";"1,000";"-1,000";"1";"-1,000";"0,000";"0,000";"Incalculable";"In use"
"";"C6000-A:C1";"IGG CSF";"PNPUC TPC3";"673292";"21,200";"1,700";"-0,753";"40";"-0,060";"19,920";"1,074";"5,392";"In use"
"";"C6000-A:C1";"IGG CSF";"PPPUC TPC3";"646927";"129,000";"10,000";"-0,264";"40";"-0,020";"126,363";"3,356";"2,656";"In use"
"";"C6000-B:C2";"IMMUNOGLOBULIN A";"PCCC 2-B";"535719";"2,260";"0,180";"-0,092";"26";"-0,007";"2,243";"0,035";"1,559";"In use"
"";"C6000-B:C2";"IMMUNOGLOBULIN A";"PCCC 1-B";"525205";"1,540";"0,120";"-0,476";"31";"-0,037";"1,483";"0,028";"1,861";"In use"
"";"C6000-B:C2";"IMMUNOGLOBULIN G";"PCCC 2-B";"535719";"11,200";"0,700";"0,744";"28";"0,047";"11,721";"0,285";"2,433";"In use"
"";"C6000-B:C2";"IMMUNOGLOBULIN G";"PCCC 1-B";"525205";"7,350";"0,440";"0,758";"33";"0,045";"7,684";"0,201";"2,622";"In use"
"";"C6000-B:C2";"IMMUNOGLOBULIN M";"PCCC 2-B";"535719";"1,020";"0,080";"0,456";"26";"0,036";"1,056";"0,019";"1,812";"In use"
"";"C6000-B:C2";"IMMUNOGLOBULIN M";"PCCC 1-B";"525205";"0,623";"0,050";"1,043";"32";"0,084";"0,675";"0,019";"2,831";"In use"
"";"C6000-B:C2";"INORGANIC PHOSPHATE URINE";"Ran-Liq 2";"1209UC";"8,400";"0,840";"0,379";"8";"0,038";"8,719";"0,251";"2,878";"Study"
"";"C6000-B:C2";"INORGANIC PHOSPHATE URINE";"Ran-Liq 3";"1210UC";"13,900";"1,400";"0,413";"8";"0,042";"14,478";"0,205";"1,418";"Study"
"";"C6000-B:C2";"INORGANIC PHOSPHATE URINE";"Ran-Liq 3";"1238UC";"13,800";"1,400";"0,539";"26";"0,055";"14,555";"0,451";"3,102";"In use"
"";"C6000-B:C2";"INORGANIC PHOSPHATE URINE";"Ran-Liq 2";"1237UC";"8,230";"0,830";"0,545";"26";"0,055";"8,682";"0,267";"3,076";"In use"
"";"C6000-A:E1-2";"INSULIN";"RIAP L3";"2181EC";"28,800";"3,600";"-0,092";"45";"-0,012";"28,468";"1,004";"3,529";"In use"
"";"C6000-A:E1-2";"INSULIN";"RIAP L2";"2228EC";"16,100";"2,000";"-0,148";"41";"-0,018";"15,803";"0,875";"5,536";"In use"
"";"LIAISON XL";"Insulin-like growth factor I";"IGF-1 L1";"1412471";"88,850";"9,383";"0,724";"4";"0,076";"95,643";"7,189";"7,516";"In use"
"";"LIAISON XL";"Insulin-like growth factor I";"IGF-1 L2";"1422471";"341,500";"29,167";"-0,267";"4";"-0,023";"333,700";"25,222";"7,558";"In use"
"";"C6000-A:C1";"IRON";"PCCC 1";"525205";"19,300";"1,200";"0,165";"43";"0,010";"19,498";"0,646";"3,315";"In use"
"";"C6000-A:C1";"IRON";"PCCC 2";"535719";"44,200";"2,700";"-0,241";"41";"-0,015";"43,549";"0,683";"1,568";"In use"
"";"C6000-A:C1";"L INDEX";"HAEMOL";"88270";"0,000";"15,000";"0,152";"7";"NaN";"2,286";"1,704";"74,565";"In use"
"";"C6000-A";"L INDEX";"HAEMOL";"88270";"0,000";"15,000";"0,133";"1";"NaN";"2,000";"0,000";"0,000";"In use"
"";"C6000-B:C2";"L INDEX";"HAEMOL-B";"88270";"1,000";"15,000";"0,033";"4";"0,500";"1,500";"1,291";"86,066";"In use"
"";"C6000-B:ISE1";"L INDEX";"HAEMOL-B";"88270";"1,000";"15,000";"0,067";"1";"1,000";"2,000";"0,000";"0,000";"In use"
"";"C6000-B:C2";"LACTATE";"PCCC 2-B";"535719";"3,820";"0,230";"-0,081";"39";"-0,005";"3,801";"0,066";"1,723";"In use"
"";"C6000-B:C2";"LACTATE";"PCCC 1-B";"525205";"1,780";"0,110";"-0,305";"45";"-0,019";"1,746";"0,032";"1,828";"In use"
"";"C6000-A:C1";"LACTATE DEHYDROGENASE";"PCCC 1";"525205";"164,000";"10,000";"0,493";"44";"0,030";"168,932";"4,008";"2,373";"In use"
"";"C6000-A:C1";"LACTATE DEHYDROGENASE";"PCCC 2";"535719";"299,000";"18,000";"0,397";"43";"0,024";"306,140";"9,528";"3,112";"In use"
"";"C6000-B:C2";"LACTATE DEHYDROGENASE";"PCCC 2-B";"535719";"299,000";"18,000";"0,133";"36";"0,008";"301,389";"8,846";"2,935";"In use"
"";"C6000-B:C2";"LACTATE DEHYDROGENASE";"PCCC 1-B";"525205";"164,000";"10,000";"0,407";"42";"0,025";"168,071";"6,482";"3,857";"In use"
"";"C6000-A:C1";"LIPASE";"PCCC 1";"525205";"45,000";"2,700";"-0,460";"48";"-0,028";"43,758";"1,659";"3,791";"In use"
"";"C6000-A:C1";"LIPASE";"PCCC 2";"535719";"100,000";"6,000";"-0,517";"47";"-0,031";"96,900";"3,516";"3,628";"In use"
"";"C6000-B:C2";"LIPOPROTEIN A2";"PC LPA 1";"520719";"44,800";"3,000";"-0,251";"8";"-0,017";"44,048";"1,033";"2,345";"In use"
"";"C6000-B:C2";"LIPOPROTEIN A2";"PC LPA 2";"520720";"112,000";"7,000";"0,546";"8";"0,034";"115,819";"3,991";"3,446";"In use"
"";"C6000-B:C2";"LITHIUM";"PCCC 2-B";"535719";"1,810";"0,070";"-0,113";"43";"-0,004";"1,802";"0,070";"3,885";"In use"
"";"C6000-B:C2";"LITHIUM";"PCCC 1-B";"525205";"0,935";"0,037";"-0,196";"49";"-0,008";"0,928";"0,044";"4,715";"In use"
"";"C6000-A:E1-2";"LUTEINISING HORMONE";"RIAP L3";"2181EC";"55,020";"1,960";"1,289";"41";"0,046";"57,546";"1,251";"2,174";"In use"
"";"C6000-A:E1-2";"LUTEINISING HORMONE";"RIAP L1";"2179EC";"4,260";"0,327";"-0,819";"39";"-0,063";"3,992";"0,124";"3,103";"In use"
"";"C6000-A:C1";"MAGNESIUM";"PCCC 1";"525205";"0,793";"0,032";"0,221";"48";"0,009";"0,800";"0,025";"3,104";"In use"
"";"C6000-A:C1";"MAGNESIUM";"PCCC 2";"535719";"1,360";"0,050";"0,044";"45";"0,002";"1,362";"0,045";"3,282";"In use"
"";"C6000-B:C2";"MAGNESIUM";"PCCC 2-B";"535719";"1,360";"0,050";"-0,151";"47";"-0,006";"1,352";"0,064";"4,735";"In use"
"";"C6000-B:C2";"MAGNESIUM";"PCCC 1-B";"525205";"0,793";"0,032";"-0,145";"53";"-0,006";"0,788";"0,042";"5,371";"In use"
"";"C6000-B:C2";"MAGNESIUM URINE";"Ran-Liq 2";"1209UC";"2,460";"0,250";"-0,245";"8";"-0,025";"2,399";"0,084";"3,505";"Study"
"";"C6000-B:C2";"MAGNESIUM URINE";"Ran-Liq 3";"1210UC";"5,130";"0,520";"-0,310";"8";"-0,031";"4,969";"0,097";"1,944";"Study"
"";"C6000-B:C2";"MAGNESIUM URINE";"Ran-Liq 3";"1238UC";"6,170";"0,620";"0,269";"31";"0,027";"6,337";"0,257";"4,056";"In use"
"";"C6000-B:C2";"MAGNESIUM URINE";"Ran-Liq 2";"1237UC";"2,880";"0,290";"0,481";"31";"0,048";"3,019";"0,159";"5,273";"In use"
"";"DCA UCT";"MALB POC";"DCA MALB/CREAT HIGH";"0060";"210,500";"14,030";"-0,171";"2";"-0,011";"208,100";"3,677";"1,767";"In use"
"";"DCA UCT";"MALB POC";"DCA MALB/ CREAT LOW";"0060";"31,200";"2,067";"-0,701";"2";"-0,046";"29,750";"0,495";"1,664";"In use"
"";"LIAISON XL";"Measles IgG";"Measles IgG NC";"1280260";"5,000";"0,833";"0,000";"4";"0,000";"5,000";"0,000";"0,000";"In use"
"";"LIAISON XL";"Measles IgG";"Measles IgG PC";"1370260";"95,000";"16,667";"0,079";"4";"0,014";"96,325";"2,476";"2,570";"In use"
"";"C6000-A:E1-1";"OESTRADIOL III";"RIAP L3";"2181EC";"1480,000";"148,000";"0,318";"36";"0,032";"1527,083";"28,983";"1,898";"In use"
"";"C6000-A:E1-1";"OESTRADIOL III";"RIAP L1";"2179EC";"198,000";"20,000";"0,647";"38";"0,065";"210,939";"9,922";"4,704";"In use"
"";"OSMO1";"Osmolality";"Serim BIOLIQ 2";"45952";"398,000";"9,300";"0,154";"30";"0,004";"399,433";"3,213";"0,804";"In use"
"";"OSMO1";"Osmolality";"Serim BIOLIQ 1";"45931";"311,000";"3,833";"0,362";"31";"0,004";"312,387";"2,591";"0,829";"In use"
"";"C6000-B:C2";"PARACETAMOL 2";"RIAP L1-B";"2179EC";"153,000";"15,500";"-0,305";"34";"-0,031";"148,271";"6,781";"4,573";"In use"
"";"C6000-B:C2";"PARACETAMOL 2";"RIAP L2-B";"2228EC";"323,000";"21,700";"-0,441";"34";"-0,030";"313,426";"16,837";"5,372";"In use"
"";"C6000-A:E2-1";"PARATHYROID HORMONE";"PC V1";"612148";"6,230";"0,560";"0,048";"45";"0,004";"6,257";"0,349";"5,577";"In use"
"";"C6000-A:E2-1";"PARATHYROID HORMONE";"PC V2";"612151";"20,600";"1,650";"0,232";"16";"0,019";"20,983";"0,465";"2,217";"In use"
"";"C6000-A:E2-1";"PARATHYROID HORMONE";"PC V2";"595765";"19,100";"1,530";"1,427";"24";"0,114";"21,284";"0,950";"4,462";"Study"
"";"C6000-A:C1";"PHOSPHATE";"PCCC 1";"525205";"1,190";"0,060";"-0,543";"47";"-0,027";"1,157";"0,020";"1,723";"In use"
"";"C6000-A:C1";"PHOSPHATE";"PCCC 2";"535719";"2,760";"0,140";"-0,597";"47";"-0,030";"2,676";"0,040";"1,487";"In use"
"";"C6000-B:C2";"PHOSPHATE";"PCCC 2-B";"535719";"2,760";"0,140";"-0,247";"37";"-0,013";"2,725";"0,089";"3,268";"In use"
"";"C6000-B:C2";"PHOSPHATE";"PCCC 1-B";"525205";"1,190";"0,060";"-0,076";"44";"-0,004";"1,185";"0,034";"2,879";"In use"
"";"C6000-B:ISE1";"POTASSIUM";"s-PCCC 2-B";"535719";"7,260";"0,220";"0,214";"85";"0,006";"7,307";"0,095";"1,295";"In use"
"";"C6000-A:ISE1";"POTASSIUM";"s-PCCC 2";"535719";"7,260";"0,220";"0,525";"93";"0,016";"7,375";"0,128";"1,732";"In use"
"";"C6000-A:ISE1";"POTASSIUM";"s-PCCC 1";"525205";"3,490";"0,100";"0,946";"94";"0,027";"3,585";"0,075";"2,094";"In use"
"";"C6000-B:ISE1";"POTASSIUM";"s-PCCC 1-B";"525205";"3,490";"0,100";"0,489";"84";"0,014";"3,539";"0,077";"2,164";"In use"
"";"C6000-B:ISE1";"POTASSIUM URINE";"Ran-Liq 2";"1209UC";"29,200";"2,200";"0,086";"10";"0,006";"29,389";"0,813";"2,765";"Study"
"";"C6000-B:ISE1";"POTASSIUM URINE";"Ran-Liq 3";"1210UC";"71,000";"5,300";"0,488";"10";"0,036";"73,588";"2,561";"3,480";"Study"
"";"C6000-B:ISE1";"POTASSIUM URINE";"Ran-Liq 3";"1238UC";"72,380";"1,480";"0,476";"31";"0,010";"73,085";"1,737";"2,377";"In use"
"";"C6000-B:ISE1";"POTASSIUM URINE";"Ran-Liq 2";"1237UC";"27,500";"2,050";"0,779";"32";"0,058";"29,098";"0,661";"2,270";"In use"
"";"C6000-A:E1-1";"proBNP";"PC CARD1";"629283";"132,000";"7,920";"-0,172";"32";"-0,010";"130,638";"3,150";"2,412";"In use"
"";"C6000-A:E1-1";"proBNP";"PC CARD2";"629284";"4930,000";"296,000";"-0,384";"32";"-0,023";"4816,375";"133,986";"2,782";"In use"
"";"C6000-A:E2-1";"PROCALCITONIN (SENSITIVE)";"PC PCT1";"671597";"0,490";"0,030";"0,374";"35";"0,023";"0,501";"0,013";"2,638";"In use"
"";"C6000-A:E2-1";"PROCALCITONIN (SENSITIVE)";"PC PCT2";"671599";"9,390";"0,560";"-0,340";"35";"-0,020";"9,199";"0,235";"2,550";"In use"
"";"C6000-A:E2-2";"PROGESTERONE III";"RIAP L3";"2181EC";"98,300";"9,750";"0,453";"36";"0,045";"102,719";"5,543";"5,397";"In use"
"";"C6000-A:E2-2";"PROGESTERONE III";"RIAP L1";"2179EC";"3,490";"0,350";"0,697";"37";"0,070";"3,734";"0,387";"10,377";"In use"
"";"C6000-A:E1-2";"PROLACTIN";"RIAP L3";"2181EC";"73,132";"7,300";"-0,435";"36";"-0,043";"69,954";"2,859";"4,087";"In use"
"";"C6000-A:E1-2";"PROLACTIN";"RIAP L2";"2228EC";"33,041";"3,300";"-0,579";"34";"-0,058";"31,129";"1,331";"4,277";"In use"
"";"C6000-A:E2-2";"PROSTATE-SPECIFIC AG";"RIAP L1";"2179EC";"1,630";"0,205";"-0,052";"46";"-0,007";"1,619";"0,049";"3,015";"In use"
"";"C6000-A:E2-2";"PROSTATE-SPECIFIC AG";"RIAP L2";"2228EC";"12,200";"1,525";"-0,010";"46";"-0,001";"12,185";"0,616";"5,059";"In use"
"";"C6000-A:C1";"PROTEIN CSF";"PNPUC TPC3";"673292";"0,218";"0,022";"-0,148";"47";"-0,015";"0,215";"0,006";"2,651";"In use"
"";"C6000-A:C1";"PROTEIN CSF";"PPPUC TPC3";"646927";"1,550";"0,160";"-0,150";"47";"-0,015";"1,526";"0,031";"2,004";"In use"
"";"C6000-A:C1";"PROTEIN URINE";"Ran-Liq 2";"1209UC";"0,140";"0,014";"-0,661";"8";"-0,066";"0,131";"0,005";"3,628";"Study"
"";"C6000-A:C1";"PROTEIN URINE";"Ran-Liq 3";"1210UC";"0,764";"0,077";"-0,085";"8";"-0,009";"0,758";"0,010";"1,301";"Study"
"";"C6000-A:C1";"PROTEIN URINE";"Ran-Liq 3";"1238UC";"0,710";"0,070";"-0,120";"34";"-0,012";"0,702";"0,020";"2,831";"In use"
"";"C6000-A:C1";"PROTEIN URINE";"Ran-Liq 2";"1237UC";"0,130";"0,010";"0,255";"33";"0,020";"0,133";"0,005";"3,411";"In use"
"";"LIAISON XL";"Renin";"RENIN L1";"7520333";"27,785";"2,315";"-0,850";"5";"-0,071";"25,818";"0,945";"3,661";"In use"
"";"LIAISON XL";"Renin";"RENIN L2";"7530333";"109,460";"9,113";"-0,073";"5";"-0,006";"108,792";"7,030";"6,462";"In use"
"";"C6000-B:C2";"RHD3";"PPA1c H";"617429";"9,820";"0,590";"-0,522";"75";"-0,031";"9,512";"0,195";"2,047";"In use"
"";"C6000-B:C2";"RHD3";"PNA1c H";"617428";"5,700";"0,340";"0,085";"75";"0,005";"5,729";"0,100";"1,753";"In use"
"";"C6000-B:C2";"RHEUMATOID FACTOR";"RFCO1";"661133";"22,700";"1,500";"0,835";"27";"0,055";"23,952";"0,687";"2,870";"In use"
"";"C6000-B:C2";"RHEUMATOID FACTOR";"RFCO2";"661134";"51,800";"2,600";"0,640";"27";"0,032";"53,463";"1,318";"2,466";"In use"
"";"C6000-B:E3-1";"RUBELLA IGG";"PC RUBIGG1";"629316";"3,316";"0,150";"-0,105";"41";"-0,005";"3,300";"0,087";"2,628";"Study"
"";"C6000-B:E3-1";"RUBELLA IGG";"PC RUBIGG2";"629317";"57,545";"2,000";"-0,421";"42";"-0,015";"56,703";"1,423";"2,509";"Study"
"";"LIAISON XL";"Rubella IgM";"Rubella IgM NC";"5190440";"10,000";"1,917";"0,000";"5";"0,000";"10,000";"0,000";"0,000";"In use"
"";"LIAISON XL";"Rubella IgM";"Rubella IgM PC";"5560440";"68,000";"11,667";"0,749";"5";"0,129";"76,740";"7,385";"9,623";"In use"
"";"C6000-A:E2-2";"SERUM FOLATE III";"RIAP L3";"2181EC";"21,400";"2,550";"0,761";"49";"0,091";"23,341";"1,552";"6,651";"In use"
"";"C6000-A:E2-2";"SERUM FOLATE III";"RIAP L2";"2228EC";"12,027";"0,715";"0,037";"54";"0,002";"12,054";"0,937";"7,773";"In use"
"";"C6000-A:E2-2";"SEX HORMONE BINDING GLOBULIN";"RIAP L1";"2179EC";"9,700";"0,970";"0,373";"34";"0,037";"10,062";"0,340";"3,380";"In use"
"";"C6000-A:E2-2";"SEX HORMONE BINDING GLOBULIN";"RIAP L2";"2228EC";"34,100";"3,400";"0,400";"38";"0,040";"35,459";"1,136";"3,203";"In use"
"";"C6000-B:ISE1";"SODIUM";"s-PCCC 2-B";"535719";"135,000";"4,000";"0,506";"84";"0,015";"137,024";"1,598";"1,166";"In use"
"";"C6000-A:ISE1";"SODIUM";"s-PCCC 2";"535719";"135,000";"4,000";"0,842";"95";"0,025";"138,368";"1,935";"1,399";"In use"
"";"C6000-A:ISE1";"SODIUM";"s-PCCC 1";"525205";"112,000";"3,000";"0,811";"95";"0,022";"114,432";"1,849";"1,616";"In use"
"";"C6000-B:ISE1";"SODIUM";"s-PCCC 1-B";"525205";"112,000";"3,000";"0,433";"84";"0,012";"113,298";"1,789";"1,579";"In use"
"";"C6000-B:ISE1";"SODIUM URINE";"Ran-Liq 2";"1209UC";"73,600";"4,400";"-0,727";"10";"-0,043";"70,400";"1,265";"1,797";"Study"
"";"C6000-B:ISE1";"SODIUM URINE";"Ran-Liq 3";"1210UC";"167,000";"10,000";"-0,260";"10";"-0,016";"164,400";"1,578";"0,960";"Study"
"";"C6000-B:ISE1";"SODIUM URINE";"Ran-Liq 3";"1238UC";"173,000";"10,500";"-0,130";"33";"-0,008";"171,636";"1,917";"1,117";"In use"
"";"C6000-B:ISE1";"SODIUM URINE";"Ran-Liq 2";"1237UC";"86,800";"5,200";"-0,406";"32";"-0,024";"84,688";"2,867";"3,386";"In use"
"";"C6000-B:E4-1";"SYPHILIS";"PC Syph 2";"653372";"5,460";"0,550";"-0,044";"134";"-0,004";"5,436";"0,235";"4,321";"In use"
"";"C6000-B:E4-2";"SYPHILIS";"PC Syph 2";"653372";"5,460";"0,550";"-0,040";"131";"-0,004";"5,438";"0,224";"4,119";"In use"
"";"C6000-B:E4-1";"SYPHILIS";"PC Syph 1";"653369";"0,077";"0,050";"0,161";"136";"0,104";"0,085";"0,003";"3,268";"In use"
"";"C6000-B:E4-2";"SYPHILIS";"PC Syph 1";"653369";"0,078";"0,050";"0,146";"131";"0,093";"0,086";"0,002";"2,764";"In use"
"";"C6000-A:E2-1";"TESTOSTERONE";"RIAP L3";"2181EC";"28,700";"2,850";"-0,280";"37";"-0,028";"27,903";"1,277";"4,577";"In use"
"";"C6000-A:E2-1";"TESTOSTERONE";"RIAP L2";"2228EC";"14,700";"1,450";"0,292";"35";"0,029";"15,123";"0,541";"3,576";"In use"
"";"C6000-A:E1-1";"THYROGLOBULIN v2";"RIAP L3";"2181EC";"60,000";"7,500";"0,738";"35";"0,092";"65,533";"1,617";"2,468";"In use"
"";"C6000-A:E1-1";"THYROGLOBULIN v2";"RIAP L1";"2179EC";"1,890";"0,235";"0,725";"36";"0,090";"2,060";"0,074";"3,601";"In use"
"";"C6000-B:E3-1";"THYROID STIMULATING HORMONE";"RIAP L1-B";"2179EC";"0,136";"0,014";"-0,370";"41";"-0,037";"0,131";"0,007";"5,723";"In use"
"";"C6000-B:E3-1";"THYROID STIMULATING HORMONE";"RIAP L2-B";"2228EC";"2,540";"0,255";"0,150";"41";"0,015";"2,578";"0,087";"3,361";"In use"
"";"C6000-A:E2-2";"THYROID STIMULATING HORMONE";"RIAP L1";"2179EC";"0,136";"0,014";"-0,684";"59";"-0,068";"0,127";"0,007";"5,680";"In use"
"";"C6000-A:E2-2";"THYROID STIMULATING HORMONE";"RIAP L2";"2228EC";"2,540";"0,255";"0,018";"59";"0,002";"2,545";"0,093";"3,664";"In use"
"";"C6000-A:C1";"TOTAL BILIRUBIN";"MAS BILIRUBIN 3";"BC24033A";"340,000";"22,700";"0,330";"43";"0,022";"347,493";"12,628";"3,634";"In use"
"";"C6000-B:C2";"TOTAL BILIRUBIN";"MAS BILIRUBIN-B";"BC24033A";"340,000";"22,700";"0,098";"36";"0,007";"342,214";"11,835";"3,458";"In use"
"";"C6000-A:C1";"TOTAL BILIRUBIN";"PCCC 1";"525205";"16,400";"1,000";"0,243";"53";"0,015";"16,643";"0,762";"4,578";"In use"
"";"C6000-A:C1";"TOTAL BILIRUBIN";"PCCC 2";"535719";"62,300";"3,700";"0,174";"51";"0,010";"62,943";"2,669";"4,240";"In use"
"";"C6000-B:C2";"TOTAL BILIRUBIN";"PCCC 2-B";"535719";"62,300";"3,700";"-0,217";"39";"-0,013";"61,497";"2,604";"4,234";"In use"
"";"C6000-B:C2";"TOTAL BILIRUBIN";"PCCC 1-B";"525205";"16,400";"1,000";"-0,036";"45";"-0,002";"16,364";"0,692";"4,226";"In use"
"";"C6000-B:C2";"TOTAL CHOLESTEROL";"s-PCCC 2-B";"535719";"4,400";"0,220";"-0,579";"77";"-0,029";"4,273";"0,069";"1,626";"In use"
"";"C6000-A:C1";"TOTAL CHOLESTEROL";"s-PCCC 2";"535719";"4,400";"0,220";"0,154";"76";"0,008";"4,434";"0,120";"2,714";"In use"
"";"C6000-A:C1";"TOTAL CHOLESTEROL";"s-PCCC 1";"525205";"2,420";"0,120";"0,338";"78";"0,017";"2,461";"0,075";"3,053";"In use"
"";"C6000-B:C2";"TOTAL CHOLESTEROL";"s-PCCC 1-B";"525205";"2,420";"0,120";"-0,287";"78";"-0,014";"2,386";"0,041";"1,699";"In use"
"";"C6000-A:C1";"TOTAL PROTEIN";"PCCC 1";"525205";"48,200";"1,900";"-0,810";"52";"-0,032";"46,662";"1,376";"2,949";"In use"
"";"C6000-A:C1";"TOTAL PROTEIN";"PCCC 2";"535719";"76,600";"3,100";"-0,900";"50";"-0,036";"73,810";"2,299";"3,115";"In use"
"";"C6000-B:C2";"TOTAL PROTEIN";"PCCC 2-B";"535719";"76,600";"3,100";"-0,282";"39";"-0,011";"75,726";"2,177";"2,875";"In use"
"";"C6000-B:C2";"TOTAL PROTEIN";"PCCC 1-B";"525205";"48,200";"1,900";"-0,240";"46";"-0,009";"47,743";"1,453";"3,043";"In use"
"";"LIAISON XL";"Toxoplasma IgG";"Toxo IgG NC";"8370470";"3,000";"0,650";"0,000";"4";"0,000";"3,000";"0,000";"0,000";"In use"
"";"LIAISON XL";"Toxoplasma IgG";"Toxo IgG PC";"8380470";"21,614";"3,333";"-0,004";"4";"-0,001";"21,600";"0,920";"4,260";"In use"
"";"LIAISON XL";"Toxoplasma IgM";"Toxo IgM NC";"5380430";"3,331";"0,667";"-0,223";"4";"-0,045";"3,183";"0,212";"6,653";"In use"
"";"LIAISON XL";"Toxoplasma IgM";"Toxo IgM PC";"5610430";"23,000";"4,000";"-0,156";"4";"-0,027";"22,375";"1,880";"8,404";"In use"
"";"C6000-A:C1";"TRANSFERRIN";"PCCC 1";"525205";"1,890";"0,110";"0,200";"54";"0,012";"1,912";"0,041";"2,147";"In use"
"";"C6000-A:C1";"TRANSFERRIN";"PCCC 2";"535719";"3,330";"0,200";"-0,056";"53";"-0,003";"3,319";"0,077";"2,331";"In use"
"";"C6000-A:C1";"TRIGLYCERIDE";"PCCC 1";"525205";"1,340";"0,070";"-0,201";"49";"-0,011";"1,326";"0,019";"1,444";"In use"
